Invoice No,Invoice Date,Supplier Name,Product Name,Batch No,Expiry,MRP,Purchase Rate,Quantity,Discount,GST%,Rate A,Rate B,Rate C
INV0001,2024-02-11,ABC Pharma,Vitamin D3 1000IU,BATCH3911,12/2026,180.98,324.61,242,29.76,18,362.37,374.94,328.59
INV0001,2024-05-22,MediSupply Co,Paracetamol 500mg,BATCH6224,08/2028,268.77,150.15,281,36.58,12,168.64,305.58,333.97
INV0001,2024-03-30,ABC Pharma,Paracetamol 500mg,BATCH7790,08/2028,366.15,183.76,257,27.05,12,307.54,109.26,110.57
INV0001,2024-03-16,MediSupply Co,Metformin 500mg,BATCH7175,09/2027,342.15,127.27,21,27.74,5,434.23,87.43,329.89
INV0001,2024-09-20,HealthCare Ltd,Amoxicillin 250mg,BATCH1786,04/2028,407.9,282.0,226,49.76,18,60.72,356.2,199.7
INV0001,2024-08-30,ABC Pharma,Amoxicillin 250mg,BATCH9403,09/2028,121.85,233.64,182,9.55,18,410.91,142.07,285.61
INV0001,2024-03-03,HealthCare Ltd,Omeprazole 20mg,BATCH9839,03/2027,299.67,386.38,26,41.89,18,161.07,249.03,172.03
INV0001,2024-03-29,MediSupply Co,Omeprazole 20mg,BATCH5833,04/2027,174.04,42.05,10,17.78,18,411.36,256.8,495.4
INV0001,2024-05-15,ABC Pharma,Azithromycin 500mg,BATCH5565,10/2028,95.71,211.34,72,3.48,12,410.05,109.25,496.95
INV0001,2024-07-26,XYZ Medical,Paracetamol 500mg,BATCH8283,08/2028,202.58,199.98,454,11.44,5,141.51,50.57,212.07
INV0002,2024-11-30,ABC Pharma,Calcium 500mg,BATCH4816,11/2028,310.89,128.82,358,41.72,12,369.21,394.15,73.45
INV0002,2024-11-01,ABC Pharma,Azithromycin 500mg,BATCH3852,11/2027,143.73,104.88,355,42.79,5,68.69,217.36,307.58
INV0002,2024-12-07,XYZ Medical,Calcium 500mg,BATCH1239,06/2028,418.89,292.35,295,11.26,5,196.28,223.6,237.89
INV0002,2024-02-20,HealthCare Ltd,Vitamin D3 1000IU,BATCH4201,09/2028,426.86,186.49,376,24.22,5,308.9,49.55,482.91
INV0002,2024-05-04,MediSupply Co,Ibuprofen 400mg,BATCH8488,04/2028,95.52,331.23,109,28.54,5,380.94,459.77,139.61
INV0002,2024-11-25,HealthCare Ltd,Cetirizine 10mg,BATCH7833,05/2028,397.35,54.28,67,13.62,18,402.13,108.08,337.9
INV0002,2024-01-11,ABC Pharma,Vitamin D3 1000IU,BATCH6791,03/2027,238.36,259.81,427,2.82,18,264.62,52.98,115.11
INV0002,2024-09-08,ABC Pharma,Paracetamol 500mg,BATCH6678,11/2028,251.97,106.26,345,5.62,18,425.93,145.72,285.56
INV0002,2024-10-23,HealthCare Ltd,Amoxicillin 250mg,BATCH3547,09/2027,459.0,208.41,411,23.99,18,404.54,285.95,273.34
INV0002,2024-10-15,MediSupply Co,Paracetamol 500mg,BATCH5048,02/2027,409.5,204.73,138,27.01,12,80.23,363.83,80.96
INV0003,2024-04-03,MediSupply Co,Cetirizine 10mg,BATCH4453,12/2027,445.34,146.34,144,8.07,5,363.71,423.52,77.48
INV0003,2024-09-19,MediSupply Co,Calcium 500mg,BATCH7140,11/2027,169.62,184.69,150,25.42,18,264.58,422.03,149.82
INV0003,2024-09-24,HealthCare Ltd,Azithromycin 500mg,BATCH4409,08/2028,76.2,265.52,118,5.35,12,247.1,238.86,216.48
INV0003,2024-06-17,Global Drugs,Aspirin 75mg,BATCH8902,09/2028,411.19,72.84,305,25.49,12,129.91,204.78,415.17
INV0003,2024-11-22,HealthCare Ltd,Aspirin 75mg,BATCH2067,09/2028,292.18,210.98,296,36.8,18,269.12,329.6,495.98
INV0003,2024-02-17,HealthCare Ltd,Ibuprofen 400mg,BATCH6507,05/2028,297.99,141.7,289,40.26,12,110.24,260.59,436.96
INV0003,2024-10-12,MediSupply Co,Paracetamol 500mg,BATCH6620,10/2028,62.45,236.64,319,44.62,18,293.97,175.4,420.72
INV0003,2024-03-05,XYZ Medical,Ibuprofen 400mg,BATCH6976,09/2028,399.34,367.86,20,18.61,12,45.53,115.37,248.83
INV0003,2024-04-22,XYZ Medical,Paracetamol 500mg,BATCH3855,12/2027,388.88,223.65,274,37.77,18,96.92,104.86,390.98
INV0003,2024-08-07,ABC Pharma,Paracetamol 500mg,BATCH8925,10/2027,313.25,48.84,347,0.89,18,127.74,341.17,359.31
INV0004,2024-09-19,XYZ Medical,Omeprazole 20mg,BATCH9918,05/2027,332.27,235.33,130,10.75,12,364.36,478.49,446.08
INV0004,2024-08-11,Global Drugs,Amoxicillin 250mg,BATCH8832,01/2027,161.2,109.04,220,44.35,12,422.22,144.6,411.85
INV0004,2024-12-03,Global Drugs,Cetirizine 10mg,BATCH7347,11/2027,409.7,340.63,454,15.62,5,57.48,359.8,320.26
INV0004,2024-11-19,ABC Pharma,Cetirizine 10mg,BATCH2396,01/2027,142.95,279.8,471,49.94,5,434.83,148.88,110.19
INV0004,2024-08-31,ABC Pharma,Paracetamol 500mg,BATCH7509,09/2028,279.15,167.33,64,28.58,5,203.47,451.01,373.14
INV0004,2024-08-20,XYZ Medical,Ibuprofen 400mg,BATCH8057,09/2027,111.41,58.41,266,9.23,12,58.37,380.0,102.21
INV0004,2024-05-15,XYZ Medical,Calcium 500mg,BATCH7628,01/2028,171.24,83.94,266,34.26,18,414.23,132.8,88.45
INV0004,2024-12-28,HealthCare Ltd,Paracetamol 500mg,BATCH5583,07/2028,133.72,308.2,248,49.86,12,351.0,372.28,102.18
